skill,experience,project_type,complexity,hours,price
cloud_computing,intermediate,script,low,24,1084.18
data_science,intermediate,api_endpoint,high,40,4884.88
web_dev,beginner,landing_page,high,26,368.33
python,expert,ai_model,medium,83,10060.62
blockchain,beginner,smart_contract,medium,72,4027.78
data_science,beginner,technical_whitepaper,medium,58,1730.01
cloud_computing,intermediate,saas_mvp,medium,116,9368.81
ui_ux_design,intermediate,landing_page,high,35,2302.29
cloud_computing,intermediate,technical_whitepaper,high,29,2577.04
data_science,beginner,technical_whitepaper,low,59,1299.35
ui_ux_design,intermediate,landing_page,medium,30,1665.88
app_dev,beginner,full_website,high,101,4547.44
data_science,intermediate,script,medium,6,410.42
cloud_computing,expert,technical_whitepaper,medium,12,1972.96
blockchain,intermediate,web_scraper,high,24,2574.21
web_dev,beginner,full_website,high,141,5031.98
app_dev,expert,ecommerce,medium,96,17921.72
digital_marketing,intermediate,landing_page,low,24,1001.27
content_writing,beginner,full_website,medium,73,1247.65
digital_marketing,intermediate,saas_mvp,low,182,9540.46
cloud_computing,expert,api_endpoint,high,19,3581.43
cloud_computing,beginner,automation,medium,43,950.97
web_dev,intermediate,ecommerce,high,94,9944.85
graphic_design,intermediate,full_website,medium,73,4243.16
data_science,beginner,ai_model,medium,106,4571.17
graphic_design,intermediate,ecommerce,low,187,9377.6
graphic_design,expert,saas_mvp,high,69,13848.79
content_writing,expert,script,medium,23,1671.31
graphic_design,expert,full_website,medium,123,10767.75
blockchain,intermediate,technical_whitepaper,medium,36,2164.72
cloud_computing,intermediate,automation,low,57,4688.18
cloud_computing,expert,automation,high,60,11831.56
graphic_design,intermediate,technical_whitepaper,low,54,1618.34
digital_marketing,expert,full_website,medium,131,14122.58
graphic_design,intermediate,growth_hacking,medium,57,2771.36
ui_ux_design,expert,automation,low,29,3300.94
cyber_security,expert,technical_whitepaper,medium,13,2236.45
app_dev,intermediate,ecommerce,low,35,2296.27
app_dev,expert,landing_page,medium,23,1829.72
data_science,intermediate,api_endpoint,medium,54,3373.65
python,beginner,automation,high,54,1777.6
cloud_computing,beginner,technical_whitepaper,medium,51,2096.46
web_dev,intermediate,ecommerce,medium,61,4113.18
ui_ux_design,intermediate,api_endpoint,medium,44,2856.79
web_dev,expert,saas_mvp,high,266,43442.56
content_writing,intermediate,full_website,medium,114,5979.0
cloud_computing,intermediate,automation,medium,35,2779.33
web_dev,intermediate,saas_mvp,low,76,5429.52
cloud_computing,intermediate,api_endpoint,high,22,2882.12
ui_ux_design,intermediate,automation,medium,24,1757.67
cyber_security,expert,web_scraper,medium,24,3602.95
graphic_design,beginner,growth_hacking,medium,46,507.85
cloud_computing,intermediate,api_endpoint,low,34,2463.79
graphic_design,intermediate,full_website,low,131,6791.66
blockchain,beginner,technical_whitepaper,medium,32,787.68
ui_ux_design,intermediate,landing_page,low,29,1154.56
python,expert,api_endpoint,high,7,1174.83
data_science,beginner,script,low,20,360.34
digital_marketing,intermediate,growth_hacking,low,19,736.81
web_dev,intermediate,landing_page,high,35,2657.83
ui_ux_design,beginner,api_endpoint,low,48,763.56
content_writing,beginner,growth_hacking,medium,75,945.82
digital_marketing,intermediate,technical_whitepaper,high,60,3668.82
blockchain,intermediate,smart_contract,medium,43,5219.76
content_writing,beginner,ecommerce,medium,54,565.77
data_science,intermediate,script,medium,6,499.6
cloud_computing,intermediate,api_endpoint,medium,47,3200.94
digital_marketing,beginner,full_website,high,120,4642.67
graphic_design,intermediate,ecommerce,medium,132,8133.99
cloud_computing,intermediate,script,medium,23,2059.39
web_dev,beginner,saas_mvp,low,213,6473.93
blockchain,intermediate,automation,medium,48,4235.84
blockchain,intermediate,web_scraper,medium,14,1175.42
graphic_design,intermediate,technical_whitepaper,medium,25,751.8
app_dev,beginner,saas_mvp,low,88,1452.29
python,intermediate,automation,high,57,3403.36
app_dev,beginner,api_endpoint,high,38,1650.6
content_writing,expert,technical_whitepaper,medium,16,1499.94
python,expert,automation,high,21,2285.33
content_writing,expert,ecommerce,medium,70,6647.96
app_dev,intermediate,automation,medium,62,3608.03
data_science,expert,api_endpoint,low,41,5157.07
graphic_design,intermediate,ecommerce,medium,201,10148.03
ui_ux_design,beginner,automation,medium,62,1558.23
web_dev,expert,web_scraper,low,6,466.76
cyber_security,intermediate,automation,high,9,936.63
cloud_computing,intermediate,automation,low,68,3995.68
cloud_computing,beginner,saas_mvp,low,278,10426.37
cloud_computing,expert,automation,low,34,3045.08
content_writing,intermediate,script,low,17,374.42
cyber_security,intermediate,api_endpoint,low,35,2969.62
ui_ux_design,beginner,full_website,medium,68,1793.3
content_writing,expert,growth_hacking,low,20,1402.37
data_science,intermediate,technical_whitepaper,medium,53,4456.59
blockchain,intermediate,web_scraper,medium,19,1777.83
blockchain,beginner,web_scraper,high,34,1782.35
blockchain,expert,web_scraper,medium,35,6189.12
python,expert,api_endpoint,low,20,2109.42
web_dev,intermediate,landing_page,medium,26,1252.93
graphic_design,intermediate,growth_hacking,medium,29,1513.9
ui_ux_design,intermediate,full_website,medium,69,4838.21
web_dev,beginner,saas_mvp,medium,158,5775.79
app_dev,expert,saas_mvp,low,136,18397.54
cloud_computing,intermediate,automation,low,59,4516.53
app_dev,beginner,api_endpoint,medium,37,1116.74
web_dev,expert,web_scraper,high,35,4616.25
cloud_computing,beginner,technical_whitepaper,medium,39,838.98
graphic_design,intermediate,ecommerce,high,199,13717.06
python,beginner,web_scraper,medium,6,115.71
app_dev,intermediate,saas_mvp,high,62,7705.83
data_science,expert,api_endpoint,low,26,3579.51
content_writing,intermediate,technical_whitepaper,medium,49,1406.86
cloud_computing,expert,script,high,15,1929.65
python,intermediate,script,medium,20,943.76
python,intermediate,automation,low,28,1334.2
cloud_computing,beginner,full_website,low,76,1527.66
blockchain,intermediate,automation,high,21,2073.49
cloud_computing,intermediate,technical_whitepaper,high,24,1678.34
ui_ux_design,intermediate,automation,high,68,5002.93
cloud_computing,beginner,script,medium,7,247.22
ui_ux_design,beginner,landing_page,medium,26,748.99
web_dev,intermediate,saas_mvp,high,147,11150.87
web_dev,beginner,ecommerce,medium,122,4537.73
data_science,beginner,api_endpoint,medium,37,1395.2
ui_ux_design,beginner,ecommerce,high,185,8909.88
python,beginner,script,low,17,366.79
data_science,intermediate,technical_whitepaper,high,19,1635.86
graphic_design,intermediate,landing_page,medium,34,1445.08
graphic_design,beginner,full_website,low,30,443.37
ui_ux_design,intermediate,ecommerce,medium,88,5019.84
cyber_security,expert,script,low,21,1874.12
blockchain,beginner,smart_contract,low,71,2799.65
blockchain,expert,saas_mvp,medium,109,27421.63
graphic_design,beginner,landing_page,medium,9,181.03
cloud_computing,expert,automation,high,46,10131.67
app_dev,intermediate,api_endpoint,low,27,948.97
ui_ux_design,intermediate,api_endpoint,high,15,780.41
data_science,beginner,script,medium,24,557.13
cyber_security,beginner,web_scraper,high,13,420.11
python,expert,saas_mvp,medium,205,26325.14
blockchain,beginner,saas_mvp,medium,273,10709.34
content_writing,intermediate,ecommerce,high,149,6117.77
cloud_computing,expert,full_website,high,37,5754.79
blockchain,intermediate,web_scraper,medium,27,1888.89
cyber_security,expert,saas_mvp,medium,99,19995.74
web_dev,expert,full_website,medium,66,10324.05
graphic_design,intermediate,ecommerce,high,86,7394.27
cloud_computing,expert,technical_whitepaper,medium,8,1403.59
python,intermediate,web_scraper,medium,8,530.92
cloud_computing,expert,automation,medium,68,11177.97
content_writing,beginner,ecommerce,medium,63,1000.36
digital_marketing,intermediate,full_website,medium,156,10241.58
ui_ux_design,expert,api_endpoint,medium,42,3551.78
app_dev,expert,landing_page,high,11,1526.73
digital_marketing,intermediate,landing_page,medium,32,1591.62
data_science,expert,saas_mvp,low,73,9561.75
ui_ux_design,intermediate,ecommerce,medium,90,4650.58
ui_ux_design,beginner,automation,low,37,805.22
web_dev,intermediate,landing_page,medium,26,1317.85
content_writing,beginner,script,medium,13,225.07
python,intermediate,script,high,11,742.89
cloud_computing,expert,saas_mvp,high,109,19051.28
content_writing,intermediate,ecommerce,high,207,8148.11
graphic_design,expert,full_website,low,106,9964.07
data_science,intermediate,technical_whitepaper,medium,31,2573.24
digital_marketing,beginner,ecommerce,low,95,1646.96
cloud_computing,beginner,api_endpoint,high,49,1218.08
python,intermediate,script,medium,7,378.45
ui_ux_design,beginner,automation,medium,57,1375.05
digital_marketing,intermediate,saas_mvp,low,135,6047.44
data_science,beginner,ai_model,medium,53,1992.81
ui_ux_design,expert,ecommerce,high,36,6461.07
web_dev,intermediate,api_endpoint,high,23,1607.48
graphic_design,intermediate,technical_whitepaper,medium,56,3006.62
ui_ux_design,beginner,ecommerce,low,139,2956.09
web_dev,intermediate,web_scraper,low,7,198.16
content_writing,expert,ecommerce,high,43,6083.98
blockchain,intermediate,automation,medium,65,5006.36
graphic_design,intermediate,full_website,low,154,5232.2
app_dev,intermediate,full_website,medium,52,3004.04
content_writing,intermediate,growth_hacking,high,22,739.58
digital_marketing,beginner,technical_whitepaper,high,45,673.63
data_science,expert,script,medium,7,1043.82
data_science,intermediate,script,high,10,638.01
graphic_design,beginner,ecommerce,medium,161,4544.53
cloud_computing,intermediate,script,medium,17,1309.51
app_dev,expert,landing_page,low,20,1568.45
ui_ux_design,intermediate,full_website,high,47,3519.12
web_dev,beginner,saas_mvp,medium,269,6118.62
app_dev,beginner,landing_page,medium,29,742.34
blockchain,intermediate,technical_whitepaper,high,38,5343.08
cloud_computing,expert,saas_mvp,low,189,35925.14
ui_ux_design,beginner,automation,medium,30,1043.39
python,beginner,script,low,3,66.61
cyber_security,expert,web_scraper,medium,20,2248.46
content_writing,beginner,full_website,high,134,2978.11
ui_ux_design,intermediate,full_website,high,139,15886.82
cyber_security,intermediate,saas_mvp,medium,142,17581.99
ui_ux_design,expert,ecommerce,low,130,15189.74
digital_marketing,beginner,technical_whitepaper,medium,37,850.35
digital_marketing,beginner,growth_hacking,high,84,1592.64
python,beginner,automation,medium,60,1297.34
content_writing,intermediate,technical_whitepaper,low,50,1073.79
ui_ux_design,expert,ecommerce,high,219,42173.09
digital_marketing,intermediate,ecommerce,low,74,3853.22
app_dev,beginner,saas_mvp,high,50,2102.16
data_science,beginner,ai_model,low,120,5036.32
blockchain,expert,automation,medium,65,12732.06
data_science,intermediate,automation,medium,35,2130.81
data_science,beginner,technical_whitepaper,low,12,339.15
cyber_security,beginner,script,medium,22,778.57
cloud_computing,intermediate,saas_mvp,medium,200,15666.66
cloud_computing,beginner,technical_whitepaper,high,29,1418.04
data_science,intermediate,api_endpoint,high,22,1657.84
web_dev,intermediate,web_scraper,medium,5,222.28
ui_ux_design,expert,api_endpoint,high,33,4700.84
python,expert,ai_model,medium,24,3886.19
graphic_design,intermediate,technical_whitepaper,medium,21,1078.88
digital_marketing,intermediate,landing_page,medium,31,1512.51
python,intermediate,web_scraper,high,9,427.75
app_dev,expert,saas_mvp,low,52,8212.53
blockchain,intermediate,technical_whitepaper,low,39,1999.8
cloud_computing,beginner,saas_mvp,medium,101,3526.55
cyber_security,beginner,script,high,14,515.48
cloud_computing,expert,api_endpoint,medium,22,3246.11
ui_ux_design,expert,landing_page,high,35,3444.57
graphic_design,beginner,technical_whitepaper,medium,34,425.11
cloud_computing,intermediate,api_endpoint,medium,39,3036.83
app_dev,beginner,landing_page,low,11,258.99
cloud_computing,beginner,technical_whitepaper,low,15,371.26
app_dev,expert,api_endpoint,low,23,2216.28
blockchain,beginner,technical_whitepaper,medium,40,1428.62
graphic_design,intermediate,saas_mvp,medium,40,2594.69
cloud_computing,expert,saas_mvp,low,205,37741.91
web_dev,expert,api_endpoint,medium,15,1164.26
web_dev,expert,api_endpoint,medium,7,561.1
blockchain,expert,smart_contract,medium,52,8647.92
data_science,beginner,ai_model,medium,28,853.51
data_science,intermediate,api_endpoint,high,26,3411.9
graphic_design,intermediate,growth_hacking,high,47,1506.39
web_dev,beginner,ecommerce,medium,51,1642.45
cyber_security,beginner,saas_mvp,low,194,6998.98
app_dev,beginner,landing_page,high,9,160.91
cyber_security,intermediate,saas_mvp,high,235,38012.69
python,expert,automation,low,32,3665.18
cyber_security,beginner,api_endpoint,high,53,2392.81
content_writing,expert,technical_whitepaper,high,48,5873.78
python,expert,saas_mvp,high,54,12659.83
cyber_security,expert,web_scraper,medium,21,2885.75
blockchain,beginner,web_scraper,high,7,354.12
data_science,beginner,api_endpoint,medium,16,497.86
digital_marketing,intermediate,growth_hacking,high,47,3213.34
web_dev,beginner,saas_mvp,medium,233,7269.19
cyber_security,beginner,web_scraper,medium,13,506.6
digital_marketing,intermediate,landing_page,medium,32,901.94
blockchain,beginner,smart_contract,high,52,1967.67
data_science,intermediate,automation,high,37,4233.51
python,intermediate,ai_model,medium,68,5406.62
app_dev,intermediate,api_endpoint,high,6,371.98
python,expert,saas_mvp,low,105,17176.55
blockchain,expert,api_endpoint,low,14,1586.76
cyber_security,expert,saas_mvp,medium,262,55050.82
python,beginner,ai_model,high,56,1808.37
app_dev,intermediate,landing_page,medium,35,1536.64
app_dev,intermediate,automation,high,10,1111.18
digital_marketing,expert,full_website,medium,84,7912.4
app_dev,beginner,ecommerce,low,56,1374.43
cloud_computing,intermediate,technical_whitepaper,medium,27,2620.81
python,expert,web_scraper,medium,17,1425.36
python,intermediate,script,medium,25,1251.52
cyber_security,intermediate,api_endpoint,low,27,1831.48
content_writing,expert,growth_hacking,medium,36,2364.42
content_writing,beginner,script,high,2,43.26
ui_ux_design,intermediate,api_endpoint,low,28,1524.56
data_science,intermediate,api_endpoint,medium,28,1999.21
data_science,beginner,script,low,22,592.03
data_science,expert,automation,medium,59,6801.13
content_writing,intermediate,full_website,medium,59,2791.81
ui_ux_design,expert,api_endpoint,medium,17,2370.75
ui_ux_design,beginner,automation,medium,32,736.38
graphic_design,beginner,technical_whitepaper,medium,56,971.15
content_writing,intermediate,full_website,medium,134,5823.57
content_writing,beginner,full_website,low,98,760.29
app_dev,intermediate,full_website,high,101,12084.93
graphic_design,beginner,technical_whitepaper,low,35,675.96
app_dev,beginner,full_website,low,124,3161.19
ui_ux_design,intermediate,full_website,low,54,3194.46
content_writing,beginner,technical_whitepaper,high,32,736.58
cyber_security,beginner,api_endpoint,high,43,2084.3
web_dev,intermediate,api_endpoint,high,24,1938.07
data_science,intermediate,automation,medium,63,5082.23
web_dev,beginner,api_endpoint,high,16,362.64
cloud_computing,intermediate,saas_mvp,low,212,20440.56
cloud_computing,beginner,script,high,11,315.03
blockchain,intermediate,technical_whitepaper,low,20,1607.65
blockchain,intermediate,web_scraper,low,4,200.3
cyber_security,intermediate,web_scraper,medium,27,1439.36
cyber_security,intermediate,saas_mvp,high,236,38754.1
cloud_computing,intermediate,full_website,medium,67,6401.04
content_writing,intermediate,ecommerce,medium,43,2042.81
blockchain,expert,smart_contract,medium,89,15994.63
content_writing,intermediate,full_website,medium,149,7036.68
blockchain,intermediate,api_endpoint,medium,7,638.37
cloud_computing,intermediate,saas_mvp,medium,212,25185.26
python,beginner,automation,high,13,339.44
python,expert,ai_model,low,121,11775.47
content_writing,beginner,full_website,low,102,1416.62
app_dev,intermediate,api_endpoint,high,7,523.03
python,intermediate,automation,medium,42,2630.4
python,beginner,ai_model,medium,121,4756.09
data_science,beginner,script,low,13,345.5
content_writing,beginner,technical_whitepaper,high,54,1124.11
web_dev,beginner,saas_mvp,medium,153,4978.11
cloud_computing,beginner,full_website,medium,136,4255.29
data_science,intermediate,script,medium,19,1358.67
cloud_computing,beginner,script,medium,20,735.17
ui_ux_design,intermediate,saas_mvp,medium,73,6693.64
app_dev,intermediate,full_website,medium,155,9410.7
cyber_security,intermediate,automation,low,67,3307.13
ui_ux_design,expert,ecommerce,medium,144,26031.68
data_science,intermediate,api_endpoint,high,42,3577.87
data_science,beginner,saas_mvp,low,219,6864.42
data_science,beginner,automation,low,53,1225.33
ui_ux_design,intermediate,landing_page,high,12,889.98
data_science,intermediate,automation,high,13,837.23
ui_ux_design,beginner,landing_page,medium,34,768.03
app_dev,expert,full_website,high,121,21104.47
graphic_design,expert,saas_mvp,medium,126,9914.77
graphic_design,intermediate,saas_mvp,low,108,3724.75
web_dev,beginner,saas_mvp,high,207,5461.86
digital_marketing,intermediate,saas_mvp,low,164,6698.71
cyber_security,intermediate,api_endpoint,high,13,1219.02
content_writing,intermediate,landing_page,medium,17,599.86
graphic_design,beginner,landing_page,high,19,475.56
app_dev,intermediate,saas_mvp,medium,104,8374.96
ui_ux_design,intermediate,ecommerce,high,186,11320.89
blockchain,intermediate,automation,medium,13,951.87
content_writing,intermediate,landing_page,high,23,884.37
web_dev,expert,landing_page,medium,34,3867.92
graphic_design,intermediate,ecommerce,low,141,5130.68
cyber_security,intermediate,saas_mvp,medium,81,8176.32
digital_marketing,intermediate,full_website,low,158,5828.55
data_science,beginner,technical_whitepaper,high,38,1059.61
python,beginner,api_endpoint,medium,41,1014.31
ui_ux_design,intermediate,saas_mvp,medium,198,17803.79
blockchain,beginner,saas_mvp,low,193,5443.38
content_writing,beginner,ecommerce,medium,44,612.15
web_dev,expert,saas_mvp,high,210,32659.28
blockchain,beginner,api_endpoint,high,34,1780.83
ui_ux_design,expert,full_website,high,65,9740.7
ui_ux_design,intermediate,full_website,low,59,4107.05
web_dev,expert,api_endpoint,medium,38,4810.97
blockchain,expert,automation,medium,11,1529.56
python,intermediate,automation,high,40,3278.05
digital_marketing,expert,ecommerce,medium,37,4120.64
web_dev,intermediate,ecommerce,high,160,14116.71
graphic_design,beginner,ecommerce,medium,125,2575.84
app_dev,beginner,landing_page,medium,16,391.74
content_writing,beginner,ecommerce,high,177,5179.74
blockchain,beginner,smart_contract,medium,71,1997.83
graphic_design,intermediate,ecommerce,medium,105,4911.54
content_writing,intermediate,ecommerce,medium,48,1198.98
python,intermediate,web_scraper,low,4,157.51
digital_marketing,beginner,growth_hacking,high,83,1423.93
cyber_security,beginner,web_scraper,low,9,197.69
app_dev,expert,landing_page,medium,17,2305.09
content_writing,intermediate,ecommerce,medium,141,4588.73
data_science,expert,api_endpoint,medium,6,985.14
cyber_security,beginner,automation,low,47,1277.27
blockchain,expert,automation,medium,26,3843.9
python,beginner,script,high,17,574.73
app_dev,expert,landing_page,high,27,3064.49
python,expert,script,medium,19,2387.64
cloud_computing,intermediate,script,low,2,139.48
graphic_design,expert,growth_hacking,medium,67,7252.65
web_dev,beginner,landing_page,medium,22,340.0
app_dev,intermediate,ecommerce,high,134,13001.56
digital_marketing,intermediate,ecommerce,medium,187,14052.56
blockchain,expert,automation,low,23,2644.75
cyber_security,intermediate,technical_whitepaper,high,19,2671.58
data_science,expert,ai_model,high,71,22220.05
content_writing,expert,ecommerce,medium,172,18186.69
cloud_computing,intermediate,saas_mvp,low,242,16911.03
app_dev,beginner,full_website,medium,120,3046.69
cyber_security,expert,api_endpoint,medium,28,4608.19
content_writing,intermediate,landing_page,medium,19,486.26
content_writing,beginner,script,high,14,187.29
python,intermediate,automation,medium,54,2277.29
cloud_computing,expert,automation,high,21,4791.1
graphic_design,beginner,full_website,high,158,5525.63
content_writing,beginner,technical_whitepaper,low,37,298.77
blockchain,expert,automation,medium,24,3321.26
data_science,expert,saas_mvp,medium,199,44554.81
data_science,intermediate,automation,high,11,844.49
cloud_computing,beginner,saas_mvp,low,268,8605.03
cyber_security,expert,saas_mvp,medium,91,23022.27
graphic_design,intermediate,saas_mvp,medium,235,10244.22
app_dev,beginner,api_endpoint,medium,13,306.2
web_dev,expert,full_website,medium,150,19762.37
ui_ux_design,expert,landing_page,medium,4,479.34
content_writing,intermediate,ecommerce,high,174,8253.63
cloud_computing,beginner,full_website,medium,37,1805.09
web_dev,intermediate,saas_mvp,low,187,10970.8
graphic_design,expert,full_website,low,55,5951.59
content_writing,intermediate,ecommerce,low,202,6075.9
content_writing,expert,growth_hacking,medium,15,769.15
ui_ux_design,expert,api_endpoint,high,44,5233.34
ui_ux_design,intermediate,landing_page,high,20,1067.22
app_dev,intermediate,ecommerce,low,213,9841.89
cyber_security,expert,automation,high,23,4836.92
ui_ux_design,intermediate,ecommerce,low,211,16474.55
content_writing,intermediate,landing_page,medium,29,979.79
python,intermediate,automation,medium,48,2350.43
digital_marketing,intermediate,growth_hacking,low,59,1442.75
ui_ux_design,beginner,saas_mvp,medium,214,8261.87
cyber_security,intermediate,technical_whitepaper,low,37,3263.22
data_science,intermediate,script,low,11,470.52
ui_ux_design,beginner,ecommerce,medium,208,8110.16
ui_ux_design,beginner,automation,medium,52,1545.99
cloud_computing,intermediate,technical_whitepaper,high,26,2163.28
content_writing,intermediate,landing_page,medium,7,226.69
digital_marketing,intermediate,ecommerce,low,198,11344.08
data_science,intermediate,script,high,8,522.63
app_dev,intermediate,landing_page,medium,14,455.94
web_dev,intermediate,saas_mvp,medium,95,9557.05
digital_marketing,expert,technical_whitepaper,medium,27,3489.23
cyber_security,intermediate,script,high,8,748.67
app_dev,intermediate,saas_mvp,medium,82,8115.59
ui_ux_design,intermediate,api_endpoint,high,32,3375.46
blockchain,expert,web_scraper,high,20,3223.99
cyber_security,beginner,technical_whitepaper,medium,64,2631.35
digital_marketing,beginner,technical_whitepaper,low,56,1312.06
app_dev,intermediate,ecommerce,low,97,5969.7
digital_marketing,beginner,saas_mvp,medium,85,1727.57
python,intermediate,web_scraper,medium,20,1429.69
content_writing,intermediate,landing_page,medium,25,714.71
digital_marketing,beginner,full_website,low,130,2122.95
cyber_security,expert,web_scraper,medium,33,4339.39
graphic_design,expert,ecommerce,high,202,27391.27
cloud_computing,intermediate,full_website,medium,90,8542.35
data_science,intermediate,technical_whitepaper,low,40,2684.64
ui_ux_design,beginner,ecommerce,low,85,2484.25
digital_marketing,intermediate,ecommerce,high,38,2065.82
web_dev,intermediate,landing_page,high,31,1670.09
digital_marketing,intermediate,ecommerce,high,171,14392.6
graphic_design,expert,full_website,medium,103,8137.88
cloud_computing,beginner,api_endpoint,low,38,987.81
graphic_design,intermediate,full_website,medium,108,5893.29
blockchain,beginner,smart_contract,low,78,1790.85
blockchain,beginner,api_endpoint,low,21,586.0
python,beginner,ai_model,medium,93,3074.92
content_writing,intermediate,technical_whitepaper,medium,35,755.99
blockchain,beginner,saas_mvp,medium,265,14625.34
python,intermediate,ai_model,medium,89,8639.99
content_writing,expert,landing_page,low,5,241.11
web_dev,beginner,api_endpoint,high,18,452.92
blockchain,expert,automation,high,41,7679.82
blockchain,expert,smart_contract,medium,45,8040.74
graphic_design,intermediate,ecommerce,medium,46,1627.01
data_science,intermediate,automation,low,14,597.87
graphic_design,intermediate,full_website,medium,104,4072.98
web_dev,beginner,api_endpoint,high,52,1940.26
cloud_computing,beginner,full_website,medium,144,4652.42
cloud_computing,beginner,automation,high,64,2246.46
blockchain,intermediate,smart_contract,high,51,9354.73
blockchain,intermediate,automation,medium,18,1814.85
data_science,expert,script,high,13,2113.74
app_dev,intermediate,automation,low,41,1570.24
cyber_security,intermediate,technical_whitepaper,high,14,1742.62
web_dev,beginner,full_website,high,111,3187.29
content_writing,beginner,growth_hacking,high,35,568.89
cloud_computing,beginner,full_website,medium,118,3244.04
ui_ux_design,beginner,ecommerce,low,203,4950.17
blockchain,intermediate,technical_whitepaper,medium,55,4533.71
blockchain,expert,automation,low,37,5379.94
ui_ux_design,expert,full_website,high,132,17049.81
cloud_computing,intermediate,technical_whitepaper,high,11,803.49
graphic_design,beginner,saas_mvp,low,44,750.88
data_science,beginner,automation,low,38,1078.18
web_dev,beginner,web_scraper,medium,29,519.05
cyber_security,intermediate,saas_mvp,high,188,30336.6
data_science,expert,technical_whitepaper,low,48,6884.99
cloud_computing,beginner,saas_mvp,high,58,3185.24
python,beginner,api_endpoint,high,7,269.88
cloud_computing,beginner,automation,low,24,899.67
ui_ux_design,expert,automation,low,51,6522.4
python,expert,web_scraper,medium,30,3359.12
digital_marketing,expert,full_website,medium,146,19092.18
python,beginner,web_scraper,high,22,409.13
web_dev,beginner,full_website,low,136,3626.15
web_dev,intermediate,landing_page,medium,20,1224.58
cyber_security,beginner,technical_whitepaper,medium,49,2443.24
content_writing,expert,growth_hacking,low,81,4144.32
web_dev,intermediate,api_endpoint,high,20,1483.89
web_dev,intermediate,web_scraper,medium,14,504.0
blockchain,intermediate,web_scraper,medium,4,330.36
cloud_computing,beginner,full_website,medium,154,7180.44
graphic_design,expert,technical_whitepaper,medium,64,7399.69
graphic_design,expert,landing_page,low,35,2497.33
data_science,intermediate,api_endpoint,low,29,1652.82
python,beginner,ai_model,high,65,3003.93
content_writing,intermediate,technical_whitepaper,medium,23,918.46
data_science,beginner,technical_whitepaper,low,44,1597.57
web_dev,intermediate,web_scraper,medium,14,763.81
blockchain,expert,smart_contract,medium,75,16738.81
web_dev,beginner,landing_page,low,26,421.46
cyber_security,expert,technical_whitepaper,high,26,4355.8
app_dev,beginner,full_website,high,155,6268.37
graphic_design,beginner,full_website,low,123,2011.53
cyber_security,expert,automation,low,43,5382.56
blockchain,intermediate,saas_mvp,low,103,6819.96
digital_marketing,beginner,landing_page,medium,5,85.07
web_dev,intermediate,api_endpoint,medium,32,2203.71
graphic_design,expert,landing_page,low,13,583.25
content_writing,intermediate,technical_whitepaper,high,22,1160.68
web_dev,beginner,landing_page,high,6,116.15
python,beginner,web_scraper,medium,21,292.83
graphic_design,beginner,saas_mvp,medium,150,4056.95
ui_ux_design,expert,full_website,medium,156,15236.87
graphic_design,intermediate,saas_mvp,medium,146,11429.33
blockchain,intermediate,technical_whitepaper,low,46,3977.82
content_writing,intermediate,landing_page,medium,11,229.19
data_science,beginner,saas_mvp,medium,161,9738.59
graphic_design,expert,ecommerce,high,68,9609.81
blockchain,intermediate,api_endpoint,high,27,2582.18
cyber_security,expert,api_endpoint,medium,42,6566.46
cloud_computing,beginner,script,low,16,366.57
digital_marketing,expert,saas_mvp,high,81,15266.48
graphic_design,beginner,technical_whitepaper,medium,23,457.54
ui_ux_design,intermediate,ecommerce,high,119,8797.36
data_science,beginner,api_endpoint,medium,26,559.94
cloud_computing,intermediate,full_website,medium,85,6937.38
app_dev,beginner,saas_mvp,medium,123,3099.17
blockchain,expert,smart_contract,high,60,15519.43
content_writing,beginner,full_website,low,103,1327.05
python,expert,saas_mvp,low,222,27095.54
python,expert,ai_model,high,104,24462.68
python,intermediate,api_endpoint,high,16,814.86
web_dev,expert,api_endpoint,medium,53,6378.02
web_dev,beginner,api_endpoint,low,54,1358.45
python,intermediate,script,medium,14,533.99
data_science,expert,technical_whitepaper,low,53,8199.24
graphic_design,intermediate,growth_hacking,high,27,1029.11
cyber_security,intermediate,script,high,19,2305.3
content_writing,beginner,full_website,medium,52,463.01
app_dev,intermediate,automation,high,42,3850.54
cyber_security,intermediate,saas_mvp,high,145,23939.74
blockchain,beginner,saas_mvp,medium,182,6711.22
app_dev,intermediate,automation,medium,52,4514.67
data_science,intermediate,saas_mvp,high,193,29242.07
cloud_computing,intermediate,automation,low,42,2128.72
digital_marketing,intermediate,landing_page,medium,27,703.63
cloud_computing,intermediate,automation,low,20,1371.82
web_dev,expert,saas_mvp,high,177,29227.53
cloud_computing,beginner,full_website,high,50,2058.01
graphic_design,intermediate,full_website,medium,127,6125.88
ui_ux_design,intermediate,ecommerce,low,88,3851.11
ui_ux_design,expert,automation,medium,48,6940.55
blockchain,beginner,automation,high,34,1267.14
data_science,intermediate,technical_whitepaper,high,64,5382.95
cyber_security,intermediate,script,low,4,274.22
blockchain,intermediate,smart_contract,medium,55,8101.0
cloud_computing,intermediate,saas_mvp,high,211,26213.7
data_science,intermediate,technical_whitepaper,high,31,3017.99
python,intermediate,script,low,21,863.68
digital_marketing,beginner,ecommerce,medium,160,4788.31
content_writing,expert,full_website,low,101,7214.34
ui_ux_design,intermediate,api_endpoint,low,9,371.18
cloud_computing,expert,api_endpoint,medium,41,6784.57
app_dev,expert,landing_page,high,34,5068.44
